"","from","to","restaurants_overLap","width","title"
"1031","NH","VT",287,2.87,"287 days shared in 2020"
"1032","NH","WA",287,2.87,"287 days shared in 2020"
"1033","NH","WI",58,0.58,"58 days shared in 2020"
"1034","NH","WV",276,2.76,"276 days shared in 2020"
"1035","NH","WY",286,2.86,"286 days shared in 2020"
"1036","NJ","NM",252,2.52,"252 days shared in 2020"
"1037","NJ","NV",254,2.54,"254 days shared in 2020"
"1038","NJ","NY",278,2.78,"278 days shared in 2020"
"1039","NJ","OH",255,2.55,"255 days shared in 2020"
"1040","NJ","OK",243,2.43,"243 days shared in 2020"
"1041","NJ","OR",242,2.42,"242 days shared in 2020"
"1042","NJ","PA",280,2.8,"280 days shared in 2020"
"1043","NJ","RI",251,2.51,"251 days shared in 2020"
"1044","NJ","SC",247,2.47,"247 days shared in 2020"
"1045","NJ","SD",6,0.06,"6 days shared in 2020"
"1046","NJ","TN",41,0.41,"41 days shared in 2020"
"1047","NJ","TX",246,2.46,"246 days shared in 2020"
"1048","NJ","UT",244,2.44,"244 days shared in 2020"
"1049","NJ","VA",253,2.53,"253 days shared in 2020"
"1050","NJ","VT",263,2.63,"263 days shared in 2020"
"1051","NJ","WA",264,2.64,"264 days shared in 2020"
"1052","NJ","WI",54,0.54,"54 days shared in 2020"
"1053","NJ","WV",247,2.47,"247 days shared in 2020"
"1054","NJ","WY",259,2.59,"259 days shared in 2020"
"1055","NM","NV",254,2.54,"254 days shared in 2020"
"1056","NM","NY",263,2.63,"263 days shared in 2020"
"1057","NM","OH",260,2.6,"260 days shared in 2020"
"1058","NM","OK",241,2.41,"241 days shared in 2020"
"1059","NM","OR",274,2.74,"274 days shared in 2020"
"1060","NM","PA",264,2.64,"264 days shared in 2020"
"1061","NM","RI",255,2.55,"255 days shared in 2020"
"1062","NM","SC",250,2.5,"250 days shared in 2020"
"1063","NM","SD",1,0.01,"1 days shared in 2020"
"1064","NM","TN",36,0.36,"36 days shared in 2020"
"1065","NM","TX",246,2.46,"246 days shared in 2020"
"1066","NM","UT",247,2.47,"247 days shared in 2020"
"1067","NM","VA",259,2.59,"259 days shared in 2020"
"1068","NM","VT",269,2.69,"269 days shared in 2020"
"1069","NM","WA",269,2.69,"269 days shared in 2020"
"1070","NM","WI",57,0.57,"57 days shared in 2020"
"1071","NM","WV",250,2.5,"250 days shared in 2020"
"1072","NM","WY",261,2.61,"261 days shared in 2020"
"1073","NV","NY",260,2.6,"260 days shared in 2020"
"1074","NV","OH",281,2.81,"281 days shared in 2020"
"1075","NV","OK",279,2.79,"279 days shared in 2020"
"1076","NV","OR",268,2.68,"268 days shared in 2020"
"1077","NV","PA",264,2.64,"264 days shared in 2020"
"1078","NV","RI",289,2.89,"289 days shared in 2020"
"1079","NV","SC",285,2.85,"285 days shared in 2020"
"1080","NV","SD",5,0.05,"5 days shared in 2020"
"1081","NV","TN",40,0.4,"40 days shared in 2020"
"1082","NV","TX",284,2.84,"284 days shared in 2020"
"1083","NV","UT",282,2.82,"282 days shared in 2020"
"1084","NV","VA",278,2.78,"278 days shared in 2020"
"1085","NV","VT",275,2.75,"275 days shared in 2020"
"1086","NV","WA",274,2.74,"274 days shared in 2020"
"1087","NV","WI",51,0.51,"51 days shared in 2020"
"1088","NV","WV",285,2.85,"285 days shared in 2020"
"1089","NV","WY",285,2.85,"285 days shared in 2020"
"1090","NY","OH",269,2.69,"269 days shared in 2020"
"1091","NY","OK",247,2.47,"247 days shared in 2020"
"1092","NY","OR",254,2.54,"254 days shared in 2020"
"1093","NY","PA",288,2.88,"288 days shared in 2020"
"1094","NY","RI",263,2.63,"263 days shared in 2020"
"1095","NY","SC",257,2.57,"257 days shared in 2020"
"1096","NY","SD",1,0.01,"1 days shared in 2020"
"1097","NY","TN",36,0.36,"36 days shared in 2020"
"1098","NY","TX",252,2.52,"252 days shared in 2020"
"1099","NY","UT",254,2.54,"254 days shared in 2020"
"1100","NY","VA",262,2.62,"262 days shared in 2020"
"1101","NY","VT",276,2.76,"276 days shared in 2020"
"1102","NY","WA",278,2.78,"278 days shared in 2020"
"1103","NY","WI",58,0.58,"58 days shared in 2020"
"1104","NY","WV",257,2.57,"257 days shared in 2020"
"1105","NY","WY",267,2.67,"267 days shared in 2020"
"1106","OH","OK",268,2.68,"268 days shared in 2020"
"1107","OH","OR",275,2.75,"275 days shared in 2020"
"1108","OH","PA",267,2.67,"267 days shared in 2020"
"1109","OH","RI",284,2.84,"284 days shared in 2020"
"1110","OH","SC",278,2.78,"278 days shared in 2020"
"1111","OH","SD",0,0,"0 days shared in 2020"
"1112","OH","TN",35,0.35,"35 days shared in 2020"
"1113","OH","TX",273,2.73,"273 days shared in 2020"
"1114","OH","UT",275,2.75,"275 days shared in 2020"
"1115","OH","VA",283,2.83,"283 days shared in 2020"
"1116","OH","VT",283,2.83,"283 days shared in 2020"
"1117","OH","WA",283,2.83,"283 days shared in 2020"
"1118","OH","WI",57,0.57,"57 days shared in 2020"
"1119","OH","WV",278,2.78,"278 days shared in 2020"
"1120","OH","WY",288,2.88,"288 days shared in 2020"
"1121","OK","OR",255,2.55,"255 days shared in 2020"
"1122","OK","PA",251,2.51,"251 days shared in 2020"
"1123","OK","RI",276,2.76,"276 days shared in 2020"
"1124","OK","SC",282,2.82,"282 days shared in 2020"
"1125","OK","SD",10,0.1,"10 days shared in 2020"
"1126","OK","TN",41,0.41,"41 days shared in 2020"
"1127","OK","TX",287,2.87,"287 days shared in 2020"
"1128","OK","UT",285,2.85,"285 days shared in 2020"
"1129","OK","VA",269,2.69,"269 days shared in 2020"
"1130","OK","VT",262,2.62,"262 days shared in 2020"
"1131","OK","WA",261,2.61,"261 days shared in 2020"
"1132","OK","WI",38,0.38,"38 days shared in 2020"
"1133","OK","WV",282,2.82,"282 days shared in 2020"
"1134","OK","WY",272,2.72,"272 days shared in 2020"
"1135","OR","PA",254,2.54,"254 days shared in 2020"
"1136","OR","RI",271,2.71,"271 days shared in 2020"
"1137","OR","SC",265,2.65,"265 days shared in 2020"
"1138","OR","SD",2,0.02,"2 days shared in 2020"
"1139","OR","TN",37,0.37,"37 days shared in 2020"
"1140","OR","TX",260,2.6,"260 days shared in 2020"
"1141","OR","UT",262,2.62,"262 days shared in 2020"
"1142","OR","VA",269,2.69,"269 days shared in 2020"
"1143","OR","VT",269,2.69,"269 days shared in 2020"
"1144","OR","WA",268,2.68,"268 days shared in 2020"
"1145","OR","WI",58,0.58,"58 days shared in 2020"
"1146","OR","WV",265,2.65,"265 days shared in 2020"
"1147","OR","WY",275,2.75,"275 days shared in 2020"
"1148","PA","RI",263,2.63,"263 days shared in 2020"
"1149","PA","SC",259,2.59,"259 days shared in 2020"
"1150","PA","SD",4,0.04,"4 days shared in 2020"
"1151","PA","TN",39,0.39,"39 days shared in 2020"
"1152","PA","TX",256,2.56,"256 days shared in 2020"
"1153","PA","UT",256,2.56,"256 days shared in 2020"
"1154","PA","VA",263,2.63,"263 days shared in 2020"
"1155","PA","VT",275,2.75,"275 days shared in 2020"
"1156","PA","WA",276,2.76,"276 days shared in 2020"
"1157","PA","WI",56,0.56,"56 days shared in 2020"
"1158","PA","WV",259,2.59,"259 days shared in 2020"
"1159","PA","WY",271,2.71,"271 days shared in 2020"
"1160","RI","SC",286,2.86,"286 days shared in 2020"
"1161","RI","SD",2,0.02,"2 days shared in 2020"
"1162","RI","TN",37,0.37,"37 days shared in 2020"
"1163","RI","TX",281,2.81,"281 days shared in 2020"
"1164","RI","UT",283,2.83,"283 days shared in 2020"
"1165","RI","VA",278,2.78,"278 days shared in 2020"
"1166","RI","VT",278,2.78,"278 days shared in 2020"
"1167","RI","WA",277,2.77,"277 days shared in 2020"
"1168","RI","WI",54,0.54,"54 days shared in 2020"
"1169","RI","WV",286,2.86,"286 days shared in 2020"
"1170","RI","WY",284,2.84,"284 days shared in 2020"
"1171","SC","SD",3,0.03,"3 days shared in 2020"
"1172","SC","TN",38,0.38,"38 days shared in 2020"
"1173","SC","TX",287,2.87,"287 days shared in 2020"
"1174","SC","UT",289,2.89,"289 days shared in 2020"
"1175","SC","VA",273,2.73,"273 days shared in 2020"
"1176","SC","VT",272,2.72,"272 days shared in 2020"
"1177","SC","WA",271,2.71,"271 days shared in 2020"
"1178","SC","WI",48,0.48,"48 days shared in 2020"
"1179","SC","WV",292,2.92,"292 days shared in 2020"
"1180","SC","WY",280,2.8,"280 days shared in 2020"
"1181","SD","TN",256,2.56,"256 days shared in 2020"
"1182","SD","TX",5,0.05,"5 days shared in 2020"
"1183","SD","UT",3,0.03,"3 days shared in 2020"
"1184","SD","VA",1,0.01,"1 days shared in 2020"
"1185","SD","VT",1,0.01,"1 days shared in 2020"
"1186","SD","WA",1,0.01,"1 days shared in 2020"
"1187","SD","WI",234,2.34,"234 days shared in 2020"
"1188","SD","WV",3,0.03,"3 days shared in 2020"
"1189","SD","WY",4,0.04,"4 days shared in 2020"
"1190","TN","TX",40,0.4,"40 days shared in 2020"
"1191","TN","UT",38,0.38,"38 days shared in 2020"
"1192","TN","VA",35,0.35,"35 days shared in 2020"
"1193","TN","VT",36,0.36,"36 days shared in 2020"
"1194","TN","WA",36,0.36,"36 days shared in 2020"
"1195","TN","WI",269,2.69,"269 days shared in 2020"
"1196","TN","WV",38,0.38,"38 days shared in 2020"
"1197","TN","WY",39,0.39,"39 days shared in 2020"
"1198","TX","UT",290,2.9,"290 days shared in 2020"
"1199","TX","VA",270,2.7,"270 days shared in 2020"
"1200","TX","VT",267,2.67,"267 days shared in 2020"
"1201","TX","WA",266,2.66,"266 days shared in 2020"
"1202","TX","WI",43,0.43,"43 days shared in 2020"
"1203","TX","WV",287,2.87,"287 days shared in 2020"
"1204","TX","WY",277,2.77,"277 days shared in 2020"
"1205","UT","VA",270,2.7,"270 days shared in 2020"
"1206","UT","VT",269,2.69,"269 days shared in 2020"
"1207","UT","WA",268,2.68,"268 days shared in 2020"
"1208","UT","WI",45,0.45,"45 days shared in 2020"
"1209","UT","WV",289,2.89,"289 days shared in 2020"
"1210","UT","WY",277,2.77,"277 days shared in 2020"
"1211","VA","VT",278,2.78,"278 days shared in 2020"
"1212","VA","WA",276,2.76,"276 days shared in 2020"
"1213","VA","WI",52,0.52,"52 days shared in 2020"
"1214","VA","WV",273,2.73,"273 days shared in 2020"
"1215","VA","WY",284,2.84,"284 days shared in 2020"
"1216","VT","WA",290,2.9,"290 days shared in 2020"
"1217","VT","WI",59,0.59,"59 days shared in 2020"
"1218","VT","WV",272,2.72,"272 days shared in 2020"
"1219","VT","WY",282,2.82,"282 days shared in 2020"
"1220","WA","WI",58,0.58,"58 days shared in 2020"
"1221","WA","WV",271,2.71,"271 days shared in 2020"
"1222","WA","WY",281,2.81,"281 days shared in 2020"
"1223","WI","WV",48,0.48,"48 days shared in 2020"
"1224","WI","WY",56,0.56,"56 days shared in 2020"
"1225","WV","WY",280,2.8,"280 days shared in 2020"
